date,text,PTR Sentiment,Flair Sentiment,Flair Score,Repost,Hastags
2024-11-27T03:05:01.000Z,Ready for an inside look at how the @nvidia GB200 NVL72 performs under real-world conditions? CoreWeave is proud to be one of the first cloud providers to present a demonstration of this state-of-the-art system.,0.53,POSITIVE,0.9993,0,[]
2024-11-26T21:06:01.000Z," Explore AI's role in shaping next-gen entertainment: https://nvda.ws/3CMPLv2From new creative opportunities to ethical considerations, take a deep dive into generative AI for the media and entertainment industry in our latest field guide.",0.5435,POSITIVE,0.9847,0,[]
2024-11-26T20:30:00.000Z,"#AI is changing industries worldwide. Louis Stewart, NVIDIA's head of strategic initiatives for global developer ecosystem, shares how embracing new technology & addressing workforce challenges are critical for workplace development. Listen now:",0.5602,POSITIVE,0.988,0,['#AI']
2024-11-26T00:00:01.000Z,"#AI finds reason to tap industry data lakes in the latest 2025 predictions. https://nvda.ws/4g2JN7MHear from our experts who predict a rise in intelligent stores, a new class of robots and breakthroughs in industries globally.",0.5392,POSITIVE,0.6535,0,['#AI']
2024-11-25T14:21:36.000Z," The world’s most flexible sound machine? With text and audio inputs, this new #generativeAI model, named Fugatto, can create any combination of music, voices, and sounds. Read more in our blog by @RichardKerris  https://blogs.nvidia.com/blog/fugatto-gen-ai-sound-model… #NVIDIAResearch",0.5329,POSITIVE,0.9974,0,"['#generativeAI', '#NVIDIAResearch']"
2024-11-19T18:04:07.000Z, Llama 3.2 model collection from @AIatMeta accelerated with NVIDIA #TensorRT and TensorRT #LLM  reduced cost and latency  unparalleled throughput  optimal end-user experienceTech Blog:  https://developer.nvidia.com/blog/llama-3-2-full-stack-optimizations-unlock-high-performance-on-nvidia-gpus/?ncid=so-twit-721633… ,0.5251,POSITIVE,0.9988,0,"['#TensorRT', '#LLM']"
2024-11-18T22:05:00.000Z,"Don't forget to see our partners at the #MSIgnite partner patio for daily demos and networking. @Cohesity, @Evidenlive, @ServiceNow, @Slalom, @Snowflake, and @Softserve.Learn More https://nvda.ws/40ZSo6C",0.5038,POSITIVE,0.9061,0,['#MSIgnite']
2024-11-18T20:30:01.000Z," NVIDIA  NIM microservice catalyzes sustainable materials research for EV batteries, solar panels, and more. This is accelerating the discovery of novel materials to expedite the renewable energy transition. #SC24Learn More  https://nvda.ws/48VnRJb",0.5125,POSITIVE,0.9981,0,['#SC24Learn']
2024-11-18T19:02:15.000Z,"Announcing the availability of the NVIDIA H200 NVL for lower-power, air-cooled enterprise rack designs with flexible configurations to deliver acceleration for every #AI and #HPC workload. #SC24 Learn more now: https://nvda.ws/3URzLhF",0.516,POSITIVE,0.9701,0,"['#AI', '#HPC', '#SC24']"
2024-11-18T19:00:24.000Z," NVIDIA launches Earth-2 NIM microservices, accelerating #climatechange modeling simulation results by 500x and enabling weather forecasting companies with faster, high-res forecasts for snow, ice, and hail. #SC24 Read more  https://nvda.ws/4fsdW0e",0.5161,POSITIVE,0.9882,0,"['#climatechange', '#SC24']"
2024-11-18T18:40:01.000Z,NVIDIA #CUDA-Q is now enabling @GoogleQuantumAI researchers to create massive digital models of its #quantum computer to solve design challenges.  Read the announcement from #SC24  https://nvda.ws/3CvUZeH,0.515,POSITIVE,0.9741,0,"['#CUDA', '#quantum', '#SC24']"
2024-11-18T16:58:30.000Z, We are partnering with our #NVIDIAInception member Dataloop to tackle key challenges in managing multimodal datasets and ensuring data quality for AI applications.  https://developer.nvidia.com/blog/spotlight-dataloop-accelerates-multimodal-data-preparation-pipelines-for-llms-with-nvidia-nim/?ncid=so-twit-182599-vt53…Discover how Dataloop's integration of NVIDIA NIM microservices will provide…,0.5294,POSITIVE,0.9947,0,['#NVIDIAInception']
2024-11-18T00:55:11.000Z,"We’re proud to bring up the first @NVIDIA GB200 NVL72 from @Dell with NVIDIA Quantum InfiniBand, setting a new bar for AI infrastructure. This wouldn’t have been possible without the support of our valued partners at @Dell and @Switch.",0.5531,POSITIVE,0.9962,0,[]
2024-11-17T20:53:32.000Z,"Our NVIDIA NIM 1.4 introduces significant improvements in kernel efficiency, runtime heuristics, and memory allocation, enabling up to 2.4x faster inferencing for businesses relying on quick responses and high throughput in #generativeAI applications.https://nvda.ws/4eE63DE ",0.5189,POSITIVE,0.9979,0,['#generativeAI']
2024-11-15T15:00:01.000Z,"Deliver value with generative AI. Dive into retrieval-augmented generation, chatbots, and virtual assistants, and learn how NVIDIA and HPE are making it easier for businesses to adopt generative AI while ensuring compliance.Join us in Hall 8.0, Room 8. https://nvda.ws/3Z4BulX",0.5362,POSITIVE,0.9996,0,[]
2024-11-13T02:31:54.000Z,"Japan’s #cloud leaders are teaming with NVIDIA to build new AI infrastructure to supply compute resources for its industries.Discover how NVIDIA #acceleratedcomputing, networking, and software solutions will transform Japan's industries.  https://nvda.ws/3Z1JRPq#AISummit",0.562,POSITIVE,0.9906,0,"['#cloud', '#acceleratedcomputing', '#AISummit']"
2024-11-13T02:45:01.000Z,"Japanese tech leaders and universities are building #sovereignAI that understands Japanese needs. https://nvda.ws/3UKhVNzDiscover how companies are adopting AI for healthcare, automotive, retail, and more, including companies adopting #physicalAI for automation. #AISummit",0.5348,POSITIVE,0.9561,0,"['#sovereignAI', '#physicalAI', '#AISummit']"
2024-11-13T02:35:02.000Z," We are collaborating with @sbnews9434 to build the AI grid for Japan. https://nvda.ws/48OC9vgUsing our tech for AI factories, 5G AI-RAN networks, and creating an AI marketplace, Softbank is accelerating their journey to becoming a global AI powerhouse. #AISummit",0.5607,POSITIVE,0.9899,0,['#AISummit']
2024-11-12T21:37:01.000Z,"At #AIsummit Japan, don’t miss our CEO Jensen Huang's insights on how #AI and accelerated computing are transforming industries.Following the special address, watch his conversation with @SoftBank_Group Chairman and CEO @masason. https://nvda.ws/40JE7uN Today, 5 p.m. PDT",0.55,NEGATIVE,0.5533,0,"['#AIsummit', '#AI']"
2024-11-12T18:00:23.000Z,Creativity unleashed   Edify3D from #NVIDIAResearch explores a new way to generate text-to-#3D images.  Project page: https://research.nvidia.com/labs/dir/edify-3d/… Paper: https://arxiv.org/abs/2411.07135  sound on,0.5307,POSITIVE,1.0,0,"['#NVIDIAResearch', '#3D']"
2024-11-09T17:48:24.000Z,"Faculty development workshops:Get hands-on experience with GPU-accelerated servers in the cloud with instructor training from educators. Workshops on  #generativeAI, #LLMs, #CUDA, #Python, #deeplearning, and more.   Nov. 15 8:00am - 4:00pm PST Virtual Register now …",0.5092,POSITIVE,0.9972,0,"['#generativeAI', '#LLMs', '#CUDA', '#Python', '#deeplearning']"
2024-11-08T23:09:44.000Z,"Find details on our sessions, demos, and activities at #MSIgnite.  https://nvda.ws/3AzWTu0",0.503,NEGATIVE,0.5023,0,['#MSIgnite']
2024-11-05T01:27:09.000Z,We are headed to #MSIgnite November 19–22. Join us to discover how we are working with @Microsoft to set new standards in enterprise #AI with seamless integrations across the Microsoft Copilot stack.Register Here: https://nvda.ws/3NR9pIH,0.5442,POSITIVE,0.9893,0,"['#MSIgnite', '#AI']"
2024-10-31T21:52:04.000Z,"Join us at #NRF2025 to learn how #AI and #generativeAI are helping retailers personalize consumer recommendations, optimize store layout, create marketing campaigns, improve forecasting, and more. Register Now: https://nvda.ws/4fs0UPT January 12-14, 2025",0.5254,POSITIVE,0.9885,0,"['#NRF2025', '#AI', '#generativeAI']"
2024-10-31T17:22:26.000Z," New research from @UTSWMedCenter creates a 4D deep learning #AI model for identifying #breastcancer metastasis using only MRI and clinical data, for early detection without invasive biopsies. Learn more: https://nvda.ws/3YJP0vb#BreastCancerAwarenessMonth",0.5289,POSITIVE,0.9906,0,"['#AI', '#breastcancer', '#BreastCancerAwarenessMonth']"
2024-10-30T18:00:21.000Z,"  Remember CoRL is only a week away – And that we built a robot ""ReMEmbR ""that leverages retrieval augmented memory with spatial, temporal, and descriptive data to help show us the way.    https://nvda.ws/48t7K5F #CoRL2024 #NVIDIAResearch",0.5146,POSITIVE,0.9913,0,"['#CoRL2024', '#NVIDIAResearch']"
2024-10-30T17:00:02.000Z,"Learn how to deploy AI microservices in your own infrastructure, whether on-premises or in the cloud, and how to manage a generative AI pipeline on Kubernetes.Register now for our upcoming webinar  https://nvda.ws/4e76mXe",0.5303,POSITIVE,0.8207,0,[]
2024-10-29T18:30:13.000Z,See how NVIDIA AI Enterprise on @awscloud equips financial institutions with enhanced fraud prevention capabilities by enhancing data science workflows and AI model creation for improved transaction security.Watch the full demo  https://nvda.ws/48pwxHA,0.5414,POSITIVE,0.9487,0,[]
2024-10-28T18:30:01.000Z,"Discover how startups like @ContextualAI, @Naya_One, @ntropy_dev and @SecuritiAI are harnessing generative AI with NVIDIA NIM microservices to boost #financialservices applications for sharper, faster operations.Read now  https://nvda.ws/4ecMWRa",0.5281,POSITIVE,0.8732,0,['#financialservices']
2024-10-28T17:00:15.000Z,"Explore the latest NVIDIA NIM performance boosts using new TensorRT-LLM optimizationsthat take advantage of Hopper Transformer Engine and FP8 precision.https://nvda.ws/4hqaYus With NVIDIA Cloud Functions shifting to a multi-region control plane to reduce network delays, users",0.53,POSITIVE,0.9957,0,[]
2024-10-28T16:00:00.000Z,"Just announced at #Money2020USA  https://nvda.ws/3NHSUOQOur AI workflow for fraud detection on @awscloud helps financial institutions better detect and prevent credit card fraud, boosting accuracy and reducing false positives.",0.5206,NEGATIVE,0.5586,0,['#Money2020USA']
2024-10-15T23:47:05.000Z,"At #LenovoTechWorld, Lenovo expanded its collaboration with NVIDIA by unveiling the latest Lenovo Neptune liquid cooling technology for #NVIDIABlackwell to reduce #datacenter power consumption and accelerate #generativeAI adoption for enterprises. https://nvda.ws/407lBwm",0.5196,POSITIVE,0.9457,0,"['#LenovoTechWorld', '#NVIDIABlackwell', '#datacenter', '#generativeAI']"
2024-10-16T15:50:38.000Z,"At #LenovoTechWorld, our CEO Jensen Huang joined Lenovo CEO Yuanqing Yang to introduce Lenovo Hybrid AI Advantage with NVIDIA and unveil new solutions featuring @Lenovo's latest Neptune liquid-cooling technology for #NVIDIABlackwell.",0.5608,POSITIVE,0.9945,0,"['#LenovoTechWorld', '#NVIDIABlackwell']"
2024-10-22T13:10:44.000Z,Former Nvidia engineer discovers 41-million-digit prime — largest prime number known to man was uncovered and verified with the help of GPUs https://trib.al/xjkGMnW,0.5397,POSITIVE,0.942,0,[]
2024-10-22T20:00:01.000Z,"Missed fractures are one of the most frequent errors in urgent care centers.  To assist doctors in identifying broken bones, the NHS in England has received approval to use #AI to improve fracture detection in X-ray examinations. https://nvda.ws/4dS3oWN ",0.5214,NEGATIVE,0.9973,0,['#AI']
2024-10-22T18:05:08.000Z," Just announced: NetworkX accelerated by NVIDIA cuGraph is generally available, bringing speed and scale to the most popular #Python graph analytics library. Experience up to 500x speedups on large graph workloads in NetworkX with zero code changes.Tech blog ",0.5187,POSITIVE,0.9986,0,['#Python']
2024-10-22T13:30:01.000Z,"Dive into the future with agentic AI, the next generation of #generativeAI. https://nvda.ws/40hqToTFrom content creation to enterprise orchestration, agentic AI is your new digital ally. Read what it is, how it works, and how it's revolutionizing #AI workflows.",0.5588,POSITIVE,0.9827,0,"['#generativeAI', '#AI']"
2024-10-21T19:38:08.000Z," @IBM just announced the Granite 3.0 family of models that deliver leading accuracy for reasoning, comprehension, code, math, and guardrails.Technical deep dive: https://developer.nvidia.com/blog/ibms-new-granite-3-0-generative-ai-models-are-small-yet-highly-accurate-and-efficient/?ncid=so-twit-955224… Experience the API endpoints as NVIDIA NIM microservice from http://ai.nvidia.com",0.5457,POSITIVE,0.9789,0,[]
2024-10-21T16:30:08.000Z," Kudos to Matthew Pacey for being the  first to get certified at our AI Summit D.C. with NVIDIA certification.Completing the AI Infrastructure and Operations certification, here's what he had to say about his experience:""As a job seeker, these certifications are a good",0.5507,POSITIVE,0.9996,0,[]
2024-10-18T17:44:25.000Z,"Researchers @halperineran and  @orenavram at #UCLA have developed a new, #AI-powered foundation model that can accurately analyze #3D medical imagery, like MRIs and CT scans, in a fraction of the time it would otherwise take a human expert. https://developer.nvidia.com/blog/ai-medical-imagery-model-offers-fast-cost-efficient-expert-analysis/…The model",0.537,POSITIVE,0.998,0,"['#UCLA', '#AI', '#3D']"
2024-10-17T14:28:37.000Z,"Join us at #SCEWC24 for an exclusive look at NVIDIA’s AI breakthroughs. See live demos on sustainability and innovation in urban environments, explore real-world solutions, and learn how industry leaders are shaping smart spaces.Register now > https://nvda.ws/3RIdqCr",0.5282,POSITIVE,0.7887,0,['#SCEWC24']
2024-10-11T16:00:01.000Z, #DevContest with @llama_index   Build agentic or beyond-agentic #RAG applications in the domain of your interest to be entered to win. This is your stage to redefine what #AI can achieve.  Register now to get started  https://nvda.ws/47Z4COF ,0.5215,NEGATIVE,0.6132,0,"['#DevContest', '#RAG', '#AI']"
2024-10-15T16:32:55.000Z,"Our Llama-3.1-Nemotron-70B-Instruct model is a leading model on the  Arena Hard benchmark (85) from @lmarena_ai. Arena Hard uses a data pipeline to build high-quality benchmarks from live data in Chatbot Arena, and is known for its predictive ability of Chatbot Arena Elo",0.5242,POSITIVE,0.9997,0,[]
2024-10-08T21:03:31.000Z,"Today at #AIsummit, VP of Enterprise Platforms Bob Pette highlighted how our accelerated computing platform is critical to the next wave of industrial, cybersecurity, scientific and healthcare transformations. https://nvda.ws/47UR1b7 #AI",0.5285,POSITIVE,0.9862,0,"['#AIsummit', '#AI']"
2024-10-15T13:15:01.000Z,"Just announced  @DataStax AI Platform, built with NVIDIA NeMo and NIM for smarter AI.Reduce AI development time by 60%Handle AI workloads 19x faster Deliver more accurate AI Learn about this game-changing complete #AI platform  https://dtsx.io/4f3nhuL",0.5706,POSITIVE,0.5268,0,['#AI']
2024-10-14T19:02:00.000Z, Discover how #AI research is driving EV charging optimization with faster and smarter energy use in smart parking lots.   https://nvda.ws/3YoLpTa#ElectricVehicles #Sustainability #NVIDIAAcademicGrant,0.52,POSITIVE,0.9914,0,"['#AI', '#ElectricVehicles', '#Sustainability', '#NVIDIAAcademicGrant']"
2024-10-14T16:00:01.000Z," We're just one day away. Tomorrow, our CEO Jensen Huang will join @Lenovo CEO Yuanqing Yang at #LenovoTechWorld to discuss how #generativeAI is driving intelligent transformation across industries. Register now: https://nvda.ws/3UcsZT9",0.515,POSITIVE,0.531,0,"['#LenovoTechWorld', '#generativeAI']"
2024-10-14T14:59:12.000Z," Announced at #AdobeMAX: New RTX-accelerated Adobe AI app updates speed up content creation in Adobe Premiere Pro, After Effects, and Substance 3D.From Generative Extend in #PremierePro to the new @Substance3D Viewer app, your workflow just got faster. Learn more ",0.5421,POSITIVE,0.9094,0,"['#AdobeMAX', '#PremierePro']"
2024-10-09T13:38:39.000Z,Excited to expand the partnership between Nvidia and Stripe: https://stripe.com/newsroom/news/nvidia-collaboration-with-stripe….We're training some pretty neat financial foundation models—with Nvidia GPUs—that are improving payments performance for Stripe customers. And Nvidia is extending access to their cloud platform,0.5434,POSITIVE,0.8284,0,[]
2024-10-11T18:01:00.000Z,"NVIDIA's GH200 Grace Hopper Superchips excel in #AI and climate modeling with 612 teraflops using HBM3 memory, outperforming DDR. Key to tackling climate change, they're showcased in the Swiss Alps system.  https://nvda.ws/3ZZJrtH  #NVIDIA #ClimateAction #Supercomputing",0.524,POSITIVE,0.9999,0,"['#AI', '#NVIDIA', '#ClimateAction', '#Supercomputing']"
2024-10-11T15:00:02.000Z,"Join us at #Money2020USA, where we're partnering with @awscloud at the AI Pavilion. Explore AI solutions for transaction fraud and financial crime through our live demos and theater sessions. Register Now: https://nvda.ws/4eq6Ngt Oct 28-30",0.5404,POSITIVE,0.9494,0,['#Money2020USA']
2024-10-09T14:18:28.000Z," Ready for next-level image generation?@bfl_ml's  FLUX.1 image generation model suite -- built on the Diffusion Transformer (DiT) architecture, and trained on 12 billion parameters -- is now accelerated by #TensorRT and runs the fastest on NVIDIA RTX AI PCs. Learn more",0.5264,POSITIVE,0.9989,0,['#TensorRT']
2024-10-09T13:00:04.000Z,Join us virtually at AI Summit D.C. for live-streamed sessions focusing on public sector advancements and AI safety throughout the day.Register now to watch the livestreams  https://nvda.ws/3XWvU3A,0.5318,POSITIVE,0.9786,0,[]
2024-10-08T16:02:52.000Z,"Excited to expand our partnership with @nvidia in #AI & engineering by integrating NVIDIA NeMo and NIM microservices, part of the NVIDIA AI Enterprise software platform, into all our generative AI applications. https://ow.ly/YOSZ50TEIky",0.5756,POSITIVE,0.9944,0,['#AI']
2024-10-08T20:38:08.000Z," To better understand new and rare astronomical phenomena, radio astronomers at @SETIInstitute are the first to apply #AI to the real-time direct detection of faint radio signals from space. https://nvda.ws/47ZfnAi ",0.5408,POSITIVE,0.9436,0,['#AI']
2024-10-08T17:47:29.000Z,"#NVIDIABlackwell has arrived. @OpenAI , we’re excited to see what you can do with one of the first engineering builds of the #NVIDIADGX B200 system.Learn more about DGX B200 here: https://nvda.ws/3BBLJoM",0.5158,POSITIVE,0.9908,0,"['#NVIDIABlackwell', '#NVIDIADGX']"
2024-10-08T15:33:47.000Z,"Our long-standing partnership with NVIDIA and deep innovation continues to lead the industry, powering the most sophisticated AI workloads.",0.5588,POSITIVE,0.9993,0,[]
2024-10-08T16:10:00.000Z, We extend our hearty congratulations to @geoffreyhinton  and @HopfieldJohn on your  Nobel Prize in Physics for your work in foundational #AI.,0.525,POSITIVE,0.9876,0,['#AI']
2024-10-08T16:00:02.000Z, Just announced: @DeloitteUS adopts NVIDIA NIM Agent Blueprint for container security to help enterprises build safe AI using open-source software.  Read now: https://nvda.ws/4gYy0J0,0.5363,NEGATIVE,0.555,0,[]
2024-10-08T15:29:51.000Z, Live from AI Summit: We are collaborating with top U.S. tech leaders to revolutionize the world’s industries with custom #AI solutions.  https://nvda.ws/4dHVoHARead now to discover the transformative power of NVIDIA AI in shaping the future.,0.5546,POSITIVE,0.9947,0,['#AI']
2024-09-25T14:53:34.000Z,"""AI's going to be critical to enabling the next wave of infrastructure,"" Nvidia's Dion Harris says. ""We talk about the grids as one sort of key use case, but it'll also play out in manufacturing, in aeronautics, and for a number of heavy industries.""",0.5494,POSITIVE,0.9778,0,[]
2024-10-04T15:00:00.000Z,"Cybersecurity is a top concern for governments, but it's also a complex data challenge.  https://nvda.ws/4eLaKMqDiscover how NVIDIA Morpheus uses AI to bolster your Zero Trust defense and keep you one step ahead of threats.",0.5416,POSITIVE,0.7236,0,[]
2024-10-04T13:00:00.000Z, Discover how AI-powered #ZeroShotLearning is accelerating treatments for rare diseases by identifying and repurposing existing drugs in record time.  Read the full story  https://nvda.ws/3zSMuZV#AI #Healthcare,0.5333,POSITIVE,0.7414,0,"['#ZeroShotLearning', '#AI', '#Healthcare']"
2024-10-03T23:23:20.000Z,"At #Money2020USA, we’re partnering with Oracle Cloud to host sessions covering AI topics in #financialservices, from fraud prevention in payments to genAI use cases in #banking.  Join us at the Money2020 AI Summit: https://nvda.ws/3N6DrYi October 27",0.5264,POSITIVE,0.8591,0,"['#Money2020USA', '#financialservices', '#banking']"
2024-10-03T21:00:02.000Z," FPT Smart Cloud, an NVIDIA Cloud Partner and leading #AI provider, enhances customer support and workforce development using FPT AI Engage and FPT AI Mentor—powered by NVIDIA. Read their success story: https://nvda.ws/4eMyoIl",0.5538,POSITIVE,0.9737,0,['#AI']
2024-10-03T18:39:01.000Z,Explore AI's role in energy efficiency with NVIDIA’s Josh Parker. Learn how GPUs and #AI are transforming energy use and aiding climate solutions.  Tune in now: https://nvda.ws/3NadTcT #EnergyEfficiency,0.5415,POSITIVE,0.9692,0,"['#AI', '#EnergyEfficiency']"
2024-09-27T17:36:12.000Z,"As AI grows so does its demand for power. @NVIDIAAI's director of accelerated computing, Dion Harris, and @PennEngineers expert Benjamin Lee discuss ways to minimize AI energy demand and grid impact in the new episode of the Energy Policy Now podcast.",0.547,POSITIVE,0.5876,0,[]
2024-10-03T17:02:47.000Z,"We just launched Llama 3.1-Nemotron-70B-Reward, a cutting-edge reward model designed to enhance Reinforcement Learning from Human Feedback (RLHF). https://developer.nvidia.com/blog/new-reward-model-helps-improve-llm-alignment-with-human-preferences/?ncid=so-twit-501500…  This model scores responses from #LLMs, helping to boost response quality and create more positive",0.5253,POSITIVE,0.9866,0,['#LLMs']
2024-12-05T21:12:50.000Z,"Discover how @perplexity_ai built AI architecture to scale its Llama 3 #LLM deployment to serve millions of inference requests.Tech blog  https://developer.nvidia.com/blog/spotlight-perplexity-ai-serves-400-million-search-queries-a-month-using-nvidia-inference-stack/?ncid=so-twit-811303…. Key takeaways: 435M queries/month  20+ AI models, including Llama 3 (8B, 70B, 405B) 3x cost reduction",0.547,POSITIVE,0.9933,0,['#LLM']
2024-11-26T17:02:29.000Z,"Kimberly Powell of @nvidia joins the #AIinBusiness podcast to discuss #AI's role in #healthcare, tackling challenges in medical imaging, clinical ops, and patient care. https://emerj.com/artificial-intelligence-podcast/…",0.5246,POSITIVE,0.6599,0,"['#AIinBusiness', '#AI', '#healthcare']"
2024-11-20T21:37:08.000Z,"Did you catch the WWT Business Innovation Summit at the #WWTChampionship?Now, you have the opportunity to experience it for yourself or relive your favorite moments.",0.5386,POSITIVE,0.9971,0,['#WWTChampionship']
2024-12-04T00:28:49.000Z, New from #NVIDIAResearch:  Project GR00T’s MaskedMimic is a single unified controller for physically simulated humanoids. Our system is capable of generating a wide range of motions across diverse terrains from intuitive user-defined intents. ,0.5252,POSITIVE,0.9999,0,['#NVIDIAResearch']
2024-11-21T16:30:09.000Z,Level up your customer service with #AgenticAI  Scale up for peak times Resolve claims faster Increase customer satisfactionRead the blog to learn more  https://nvda.ws/3OjLjXd,0.5382,NEGATIVE,0.6826,0,['#AgenticAI']
2024-11-20T21:01:19.000Z,"NVIDIA is a proud sponsor of #MSIgniteDay 1 was a success, featuring exciting demos, breakout sessions and partner connections. Stop by our booth (#400) to see the latest in #AI or recharge at our partner patio in the HUB.Learn Morehttps://nvda.ws/4eEW1SL",0.5233,POSITIVE,0.978,0,"['#MSIgniteDay', '#400', '#AI']"
2024-11-19T16:03:39.000Z,"Supercharge your @Windows AI development workflow using NVIDIA RTX AI PCs & new tools announced at #MSIgnite. From web app development to SLMs for digital humans, this week's #AIDecoded blog breaks down the updates  https://nvda.ws/48Uv8Jr",0.5536,POSITIVE,0.8097,0,"['#MSIgnite', '#AIDecoded']"
2024-11-20T16:43:00.000Z,"Tomorrow at #MSIgnite, gain insight into how AI drives groundbreaking innovations, enhances efficiency, and creates new business. Register for the session, available online and in-person  https://nvda.ws/4fzkLNL""",0.5532,POSITIVE,0.9437,0,['#MSIgnite']
2024-11-19T17:15:00.000Z,"At #MSIgnite 2024, we unveiled groundbreaking product integrations designed to elevate full-stack NVIDIA #AI on @Microsoft applications.",0.5462,POSITIVE,0.999,0,"['#MSIgnite', '#AI']"
2024-12-12T16:59:46.000Z," New from #NVIDIAResearch: LLaMA-Mesh, a groundbreaking approach that enables LLMs to generate 3D meshes. Leverages spatial knowledge embedded in LLMs Enables conversational 3D generation and mesh understanding Represents 3D mesh data as plain text for seamless",0.5226,POSITIVE,0.9999,0,['#NVIDIAResearch']
2024-12-12T18:00:30.000Z,"Announcing the latest release of the Accelerated Data Science Teaching Kit, co-developed with @GeorgiaTech and @PVAMU. New lecture material on how to accelerate data science workflows with zero code changes using RAPIDS  Jupyter notebooks, demos, and periodic knowledge",0.5271,POSITIVE,0.987,0,[]
2024-12-11T23:12:04.000Z, Southeast Asia is embracing #sovereignAI. The prime ministers of Thailand and Vietnam met with our founder and CEO Jensen Huang to discuss initiatives that will accelerate AI innovation in their countries.Read more  https://nvda.ws/3ZA8ku2,0.5242,POSITIVE,0.8117,0,['#sovereignAI']
2024-12-11T21:04:47.000Z," Now available–the NVIDIA AI Blueprint for building smarter, more secure AI virtual assistants to enhance and scale customer service systems. https://nvda.ws/4g63QT2 ",0.5582,POSITIVE,0.9995,0,[]
2024-12-11T16:50:50.000Z,"Congrats to the #NVIDIAResearch team of Tero Karras, Miika Aittala, Jaakko Lehtinen (@jaakkolehtinen), Timo Aila, Samuli Laine, plus their former intern Tuomas Kynkäänniemi, for the  Runner-Up Best Paper award at #NeurIPS2024.They won the award for their work, “Guiding a",0.5145,POSITIVE,0.9983,0,"['#NVIDIAResearch', '#NeurIPS2024']"
2024-12-03T02:25:15.000Z,"Come see us at #AWSreInvent Visit booth #1620 on the showfloor and explore how we’re driving innovation through interactive demos,Chat with our experts at the booth and attend our sessions to learn more. Check out the full schedule: https://nvda.ws/41ePaMI",0.504,POSITIVE,0.9371,0,"['#AWSreInvent', '#1620']"
2024-11-22T19:27:18.000Z, How can we achieve GPT-3 175B-level performance with only 1.3B parameters?   New from #NVIDIAResearch: HYMBA (HYbrid Multi-head Bi-Attention) combines MLP and attention mechanisms to dramatically boost small language model capabilities.HYMBA could revolutionize NLP,0.5219,POSITIVE,0.9666,0,['#NVIDIAResearch']
2024-11-21T20:48:23.000Z,"Discover how @ENERGY's AI initiatives are transforming science, industry, and government. In the latest NVIDIA AI Podcast, the U.S. Department of Energy's chief AI officer, Helena Fu, discusses the department's groundbreaking efforts. #AIpodcast",0.5498,POSITIVE,0.9834,0,['#AIpodcast']
2024-11-18T19:01:52.000Z,"Modernize your business with the new Dell AI Factory with @NVIDIA, a full suite of #GenAI solutions from two of the world's #tech leaders.#SC24: https://dell.to/3Za9Xjk",0.5855,POSITIVE,0.9966,0,"['#GenAI', '#tech', '#SC24']"
2024-11-21T19:00:02.000Z,Perplexity AI uses NVIDIA NeMo to create an AI-powered search engineLearn how NeMo made it easier to: scale the fine-tuning of #LLMs create custom models for their online answer engine develop a new Sonar training model Learn More https://nvda.ws/3Cz26TE,0.5402,POSITIVE,0.9845,0,['#LLMs']
